K,V
1,60732
2,15272
3,6661
4,3782
5,2419
6,1701
7,1285
8,962
9,796
10,601
11,527
12,433
13,359
14,300
15,261
16,256
17,200
18,191
19,162
20,159
21,149
22,120
23,102
24,117
25,108
26,96
27,88
28,66
29,63
30,64
31,64
32,59
33,73
34,52
35,50
36,54
37,37
38,40
39,34
40,41
41,29
42,36
43,33
44,33
45,25
46,35
47,31
48,22
49,34
50,19
51,30
52,24
53,21
54,21
55,19
56,24
57,18
58,23
59,11
60,12
61,17
62,15
63,21
64,14
65,17
66,12
67,8
68,11
69,17
70,14
71,7
72,14
73,9
74,8
75,9
76,9
77,9
78,12
79,13
80,8
81,13
82,10
83,5
84,5
85,7
86,4
87,4
88,8
89,6
90,8
91,8
92,8
93,7
94,3
95,8
96,5
97,6
98,9
99,7
100,8
101,6
102,13
103,3
104,5
105,9
106,2
107,8
108,3
109,1
110,4
111,6
112,9
113,3
114,3
115,4
116,5
117,3
118,3
119,6
120,5
121,2
122,2
123,3
124,4
125,2
126,2
128,8
130,3
131,4
132,3
133,3
134,3
135,6
136,2
137,4
138,5
139,6
140,4
141,2
142,5
143,2
144,5
145,2
146,4
147,6
148,1
149,2
150,3
151,5
152,4
153,2
154,5
155,4
156,2
157,4
158,3
159,3
161,1
163,6
164,2
165,2
167,3
168,1
169,1
170,4
171,2
172,1
173,2
174,1
175,1
176,1
177,1
178,3
179,1
180,2
183,1
184,2
185,2
186,1
187,3
188,1
190,3
192,1
193,1
195,3
196,1
197,4
198,4
199,1
200,2
201,2
203,4
204,3
205,3
207,1
208,1
209,4
210,1
213,4
215,2
216,2
217,1
219,1
220,3
221,1
222,1
223,2
224,2
225,1
226,2
227,1
228,2
229,3
230,2
231,3
232,1
233,1
234,1
235,1
236,2
237,1
238,1
240,1
242,1
243,2
244,4
245,3
247,1
249,4
251,1
252,3
254,1
255,1
256,1
257,1
259,1
260,1
261,2
262,1
264,1
265,1
268,2
269,2
271,2
273,3
274,1
277,1
278,1
279,1
280,1
281,1
284,2
286,3
289,1
290,1
291,1
292,1
293,1
295,1
297,1
298,2
301,1
302,2
303,1
304,1
305,2
307,1
308,2
310,2
312,4
313,2
315,1
316,1
317,1
319,1
322,1
323,2
325,2
329,1
333,1
335,1
338,1
339,1
341,1
344,1
349,2
350,1
351,1
352,1
353,1
354,2
356,1
358,1
363,2
364,1
365,1
367,1
373,3
375,1
377,1
381,1
382,1
386,1
387,2
389,2
392,1
393,2
394,1
397,1
402,1
409,2
411,1
414,1
418,1
421,2
426,1
429,1
434,1
436,1
440,1
449,1
453,1
461,2
462,1
464,1
465,1
469,3
473,1
476,1
477,1
480,1
485,2
488,2
492,1
496,1
508,1
515,1
518,1
528,1
537,1
538,1
540,1
552,1
557,1
563,1
569,1
575,1
577,1
583,1
585,1
587,1
591,1
601,1
607,1
629,1
637,1
640,1
641,1
642,1
654,1
661,1
665,2
669,1
677,1
692,1
696,2
715,1
729,1
749,1
758,2
761,1
763,1
771,2
773,1
780,1
785,1
788,1
790,1
795,1
803,1
804,1
813,1
839,1
841,1
846,1
847,1
862,1
869,1
877,1
887,1
906,1
924,1
933,1
938,1
943,1
998,1
999,1
