K,V
1,48852
2,15125
3,7491
4,4535
5,3182
6,2394
7,1796
8,1505
9,1193
10,952
11,791
12,720
13,636
14,522
15,487
16,441
17,348
18,353
19,344
20,286
21,287
22,224
23,231
24,220
25,216
26,191
27,186
28,185
29,160
30,146
31,130
32,132
33,137
34,122
35,114
36,112
37,100
38,85
39,110
40,81
41,93
42,82
43,82
44,83
45,83
46,87
47,84
48,90
49,70
50,68
51,58
52,61
53,62
54,47
55,58
56,47
57,46
58,54
59,50
60,43
61,48
62,46
63,42
64,49
65,44
66,40
67,36
68,46
69,45
70,46
71,41
72,31
73,36
74,26
75,29
76,37
77,22
78,22
79,23
80,22
81,26
82,22
83,32
84,27
85,33
86,26
87,35
88,23
89,24
90,19
91,23
92,21
93,19
94,28
95,24
96,25
97,24
98,23
99,12
100,14
101,22
102,22
103,21
104,22
105,16
106,23
107,16
108,18
109,12
110,20
111,19
112,23
113,21
114,19
115,11
116,22
117,11
118,14
119,12
120,21
121,8
122,9
123,19
124,14
125,9
126,10
127,14
128,13
129,18
130,10
131,17
132,12
133,13
134,11
135,11
136,8
137,22
138,13
139,10
140,15
141,14
142,9
143,9
144,9
145,7
146,12
147,10
148,12
149,12
150,11
151,11
152,11
153,6
154,11
155,15
156,10
157,17
158,5
159,2
160,10
161,9
162,8
163,8
164,8
165,7
166,13
167,8
168,7
169,7
170,8
171,6
172,12
173,10
174,7
175,5
176,6
177,9
178,1
179,7
180,9
181,11
182,12
183,7
184,2
185,6
186,6
187,10
188,6
189,10
190,3
191,5
192,7
193,6
194,7
195,2
196,7
197,3
198,10
199,2
200,7
201,9
202,7
203,9
204,7
205,10
206,14
207,9
208,6
209,4
210,11
211,7
212,8
213,8
214,5
215,7
216,4
217,7
218,4
219,3
220,7
221,6
222,5
223,6
224,4
225,8
226,4
227,1
228,6
229,7
230,3
231,4
232,3
233,4
234,11
235,3
236,7
237,2
238,4
239,3
240,4
241,4
242,3
243,3
244,4
245,2
246,1
247,4
248,3
249,9
250,2
251,2
252,3
253,8
254,4
255,4
256,3
257,3
258,6
259,4
260,1
261,4
262,4
263,4
264,3
265,2
266,9
267,8
268,1
269,3
270,3
271,5
272,2
273,5
274,3
275,6
276,3
277,5
278,3
279,2
280,5
281,1
282,7
283,2
284,7
285,4
286,3
287,2
288,3
289,6
290,5
291,1
292,3
293,4
295,6
296,7
297,1
298,3
299,6
300,1
301,3
302,4
303,4
304,5
305,3
306,1
307,2
308,7
309,2
310,1
311,4
312,3
313,3
314,7
315,2
316,6
317,4
318,3
319,2
320,3
321,4
322,2
323,1
324,2
325,4
326,4
327,4
329,3
330,5
331,1
332,2
333,2
334,1
335,5
336,4
337,2
338,1
339,5
340,2
341,3
343,3
344,2
345,3
346,1
347,1
348,2
349,4
350,1
351,3
352,1
353,3
354,3
